id.tag.year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Panteley_171360_2020,1,1,1,1,2,2,2,1,1,1,0,0
Parzuf_L I35 Red_200645_2020,0,0,0,0,0,0,1,1,2,1,0,0
Parzuf_S I34 Red_200644_2020,0,0,0,0,0,0,1,1,2,1,0,0
Paschalis_130670_2013,0,0,0,0,0,0,0,1,2,1,1,1
Paschalis_130670_2014,1,1,1,0,0,0,0,0,0,0,0,0
Poiares_48797733001_2017,0,0,0,0,0,1,1,1,2,2,1,0
Polya_171356_2018,0,0,0,0,1,1,1,1,1,2,2,1
Polya_171356_2019,1,1,1,1,1,2,1,1,1,2,1,1
Polya_171356_2020,1,1,1,2,2,0,0,0,0,0,0,0
Provence_2016_Ad_wild_EO5018_Salome_8P_5018_2016,0,0,0,0,0,0,0,0,1,1,0,0
